#,Patient Code,PAT id(SSAM),Accession,Name,Subtype,Country,Sampling Year,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
288,3718,61253,KX907383,CO3718V3,A1,TANZANIA,2004,789,9496,8699,HIV-1
289,3878,100898,KX907389,CO3878V2,A1,TANZANIA,2004,796,9496,8726,HIV-1
290,6161,100900,KX907401,CO6161V5,A1,TANZANIA,2005,796,9489,8756,HIV-1
291,6592,61504,KX907412,CO6592V5,A1,TANZANIA,2005,789,9496,8751,HIV-1
292,6637,100907,KX907414,CO6637V7,A1,TANZANIA,2006,789,9496,8788,HIV-1
293,6830,100921,KX907423,CO6830V7,A1,TANZANIA,2006,789,9496,8724,HIV-1
294,6974,100910,KX907431,CO6974V7,A1,TANZANIA,2006,789,9496,8682,HIV-1
295,EUR0066,102209,KY496622,100_117,A1,SPAIN,2015,544,9481,8977,HIV-1
296,707010232,102654,KY658694,DEMA108TZ002,A1,TANZANIA,2008,1,9655,9727,HIV-1
297,707010060,102667,KY658695,DEMA108TZ004,A1,TANZANIA,2008,1,9633,9745,HIV-1
298,707010142,102648,KY658696,DEMA108TZ012,A1,TANZANIA,2008,202,9635,9422,HIV-1
299,PK027,101842,KY658714,DEMA114PK027,A1,PAKISTAN,2014,1,9635,9779,HIV-1
300,PK030,101867,KY658715,DEMA115PK030,A1,PAKISTAN,2015,631,9719,9156,HIV-1
301,PK031,101863,KY658716,DEMA115PK031,A1,PAKISTAN,2015,652,9719,9162,HIV-1
302,455,69,M62320,U455_U455A,A1,UGANDA,1985,531,9719,9178,HIV-1
303,,,MF109427,13612_1_42.3,A1,UNITED KINGDOM,2014,790,9405,8433,HIV-1
304,,,MF109613,14727_1_50.3,A1,UNITED KINGDOM,2014,790,9405,8428,HIV-1
305,,,MF109623,14727_1_62.3,A1,UNITED KINGDOM,2014,790,9405,8430,HIV-1
306,,,MF109677,15171_1_44.3,A1,UNITED KINGDOM,2013,790,9405,8409,HIV-1
307,,,MF109679,15171_1_6.3,A1,UNITED KINGDOM,2013,790,9405,8409,HIV-1
308,pt001,104843,MF373124,001UG,A1,SWEDEN,1993,790,9417,8664,HIV-1
309,pt064,104852,MF373167,064GR,A1,SWEDEN,2012,790,9417,8616,HIV-1
310,pt065,104818,MF373168,065SE,A1,SWEDEN,2012,790,9417,8736,HIV-1
311,pt078,104870,MF373181,078SE,A1,SWEDEN,2013,790,9417,8595,HIV-1
312,pt079,104817,MF373182,079KE,A1,SWEDEN,2013,790,9417,8655,HIV-1
313,UG037,5,U51190,92UG037,A1,UGANDA,1992,628,9590,8999,HIV-1
