sequenceID	taxonomy	locus_numeric_id	classifier	taxonomy.locus_numeric_id	organism	erv_structure	original	locus_structure	sequence_length	scaffold	orientation	extract_start	extract_end	assigned_name	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings
ERV-ELVgv.103-Galeopterus_variegatus-LTR	ELVgv	103	ERV	ELVgv.103	Galeopterus_variegatus	solo LTR	103	LTR[ELVgv(+)]	370	KL144502.1	+	184571	184940	ELVgv	2625	2722	1	294	98	157	80.612	4.15	48	0
ERV-ELVgv.104-Galeopterus_variegatus-LTR	ELVgv	104	ERV	ELVgv.104	Galeopterus_variegatus	solo LTR	104	LTR[ELVgv(+)]	368	JMZW01486527.1	+	25	392	ELVgv	60	146	109	366	87	121	74.713	1.28	35	1
ERV-ELVgv.105-Galeopterus_variegatus-LTR	ELVgv	105	ERV	ELVgv.105	Galeopterus_variegatus	solo LTR	105	LTR[ELVgv(-)]	368	KL148386.1	-	96555	96922	ELVgv	2676	2746	152	364	71	102	71.831	1.01	41	0
ERV-ELVgv.106-Galeopterus_variegatus-LTR	ELVgv	106	ERV	ELVgv.106	Galeopterus_variegatus	solo LTR	106	LTR[ELVgv(-)]	360	KL152618.1	-	13544	13903	ELVgv	2603	2718	1	354	118	183	77.966	2.08	57	1
ERV-ELVgv.107-Galeopterus_variegatus-LTR	ELVgv	107	ERV	ELVgv.107	Galeopterus_variegatus	solo LTR	107	LTR[ELVgv(-)]	353	KL143370.1	-	372379	372731	ELVgv	2603	2714	1	336	124	95.5	49.194	1.39	26	3
ERV-ELVgv.108-Galeopterus_variegatus-LTR	ELVgv	108	ERV	ELVgv.108	Galeopterus_variegatus	solo LTR	108	LTR[ELVgv(-)]	349	JMZW01431583.1	-	3	351	ELVgv	2650	2720	137	349	71	96.3	69.014	7.51	33	0
ERV-ELVgv.109-Galeopterus_variegatus-LTR	ELVgv	109	ERV	ELVgv.109	Galeopterus_variegatus	solo LTR	109	LTR[ELVgv(+)]	347	KL143589.1	+	404181	404527	ELVgv	2635	2723	80	346	89	136	77.528	1.26	45	0
ERV-ELVgv.110-Galeopterus_variegatus-LTR	ELVgv	110	ERV	ELVgv.110	Galeopterus_variegatus	solo LTR	110	LTR[ELVgv(-)]	347	KL144351.1	-	87332	87678	ELVgv	2631	2745	1	345	115	169	73.913	1.31	52	0
ERV-ELVgv.111-Galeopterus_variegatus-LTR	ELVgv	111	ERV	ELVgv.111	Galeopterus_variegatus	solo LTR	111	LTR[ELVgv(+)]	346	KL158418.1	+	15095	15440	ELVgv	2657	2746	77	343	90	89.4	61.111	4.46	25	1
ERV-ELVgv.112-Galeopterus_variegatus-LTR	ELVgv	112	ERV	ELVgv.112	Galeopterus_variegatus	solo LTR	112	LTR[ELVgv(-)]	343	KL143849.1	-	256423	256765	ELVgv	2603	2718	1	342	118	104	54.237	6.01	30	2
ERV-ELVgv.113-Galeopterus_variegatus-LTR	ELVgv	113	ERV	ELVgv.113	Galeopterus_variegatus	solo LTR	113	LTR[ELVgv(-)]	342	KL143632.1	-	301774	302115	ELVgv	2631	2715	59	337	93	98.6	62.366	7.57	28	2
ERV-ELVgv.114-Galeopterus_variegatus-LTR	ELVgv	114	ERV	ELVgv.114	Galeopterus_variegatus	solo LTR	114	LTR[ELVgv(-)]	334	KL144865.1	-	288852	289185	ELVgv	2644	2744	27	329	101	137	71.287	1.91	41	0
ERV-ELVgv.115-Galeopterus_variegatus-LTR	ELVgv	115	ERV	ELVgv.115	Galeopterus_variegatus	solo LTR	115	LTR[ELVgv(-)]	320	KL145366.1	-	14316	14635	ELVgv	2604	2709	1	318	106	180	81.132	1.55	56	0
ERV-ELVgv.116-Galeopterus_variegatus-LTR	ELVgv	116	ERV	ELVgv.116	Galeopterus_variegatus	solo LTR	116	LTR[ELVgv(-)]	320	JMZW01501533.1	-	202	521	ELVgv	2640	2745	2	319	106	164	76.415	7.4	51	0
ERV-ELVgv.117-Galeopterus_variegatus-LTR	ELVgv	117	ERV	ELVgv.117	Galeopterus_variegatus	solo LTR	117	LTR[ELVgv(-)]	304	KL143609.1	-	436858	437161	ELVgv	45	126	1	243	84	85.1	66.667	2.86	23	2
ERV-ELVgv.118-Galeopterus_variegatus-LTR	ELVgv	118	ERV	ELVgv.118	Galeopterus_variegatus	solo LTR	118	LTR[ELVgv(+)]	300	JMZW01460348.1	+	348	647	ELVgv	2624	2703	59	298	80	120	72.5	1.02	35	0
ERV-ELVgv.119-Galeopterus_variegatus-LTR	ELVgv	119	ERV	ELVgv.119	Galeopterus_variegatus	solo LTR	119	LTR[ELVgv(-)]	294	KL151332.1	-	47924	48217	ELVgv	49	144	2	286	98	115	69.388	6.51	34	2
ERV-ELVgv.120-Galeopterus_variegatus-LTR	ELVgv	120	ERV	ELVgv.120	Galeopterus_variegatus	solo LTR	120	LTR[ELVgv(+)]	205	KL152259.1	+	63948	64152	ELVgv	2678	2738	1	192	64	93.2	71.875	1.18	26	1
ERV-ELVgv.121-Galeopterus_variegatus-LTR	ELVgv	121	ERV	ELVgv.121	Galeopterus_variegatus	solo LTR	121	LTR[ELVgv(-)]	203	KL151292.1	-	61353	61555	ELVgv	2681	2745	3	197	65	103	78.462	2.84	30	0
ERV-ELVgv.122-Galeopterus_variegatus-LTR	ELVgv	122	ERV	ELVgv.122	Galeopterus_variegatus	solo LTR	122	LTR[ELVgv(-)]	197	KL174884.1	-	6278	6474	ELVgv	2684	2746	6	194	63	107	79.365	1.06	31	0
ERV-ELVgv.123-Galeopterus_variegatus-LTR	ELVgv	123	ERV	ELVgv.123	Galeopterus_variegatus	solo LTR	123	LTR[ELVgv(+)]	187	KL146761.1	+	80337	80523	ELVgv	2685	2742	3	176	58	94	79.31	3.92	27	0
ERV-ELVgv.124-Galeopterus_variegatus-LTR	ELVgv	124	ERV	ELVgv.124	Galeopterus_variegatus	solo LTR	124	LTR[ELVgv(-)]	175	KL181872.1	-	66	240	ELVgv	2689	2745	3	173	57	87.4	73.684	6.76	25	0
ERV-RELIK.1-Lepus_americanus-provirus	RELIK	1	ERV	RELIK.1	Lepus_americanus	provirus	1	gag[RELIK(+)]-pol[RELIK(+)]	2756	PVJM010009710.1	+	40767	43522	ELVgv	659	995	1489	2511	344	230	39.826	1.34	68	5
ERV-RELIK.2-Lepus_americanus-provirus	RELIK	2	ERV	RELIK.2	Lepus_americanus	provirus	2	pol[RELIK(-)]	997	PVJM010345096.1	-	2	998	ELVgv	682	942	1	789	263	193	42.205	1.52	57	2
ERV-RELIK.3-Lepus_americanus-provirus	RELIK	3	ERV	RELIK.3	Lepus_americanus	provirus	3	pol[RELIK(+)]	915	PVJM010346407.1	+	24	938	ELVgv	658	942	43	915	291	196	41.237	8.75	59	3
ERV-RELIK.4-Lepus_americanus-provirus	RELIK	4	ERV	RELIK.4	Lepus_americanus	provirus	4	LTR[RELIK(+)]-pol[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	8665	PVJM010004328.1	+	39430	48094	RELiK	469	1133	1381	3357	688	758	67.587	0	1	9
ERV-RELIK.5-Lepus_americanus-provirus	RELIK	5	ERV	RELIK.5	Lepus_americanus	provirus	5	env[RELIK(-)]-env[RELIK(-)]-tat[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-LEA[RELIK(-)]	8189	PVJM010018742.1	-	1355	9543	RELiK	279	536	337	1104	258	364	86.434	0	1	1
ERV-RELIK.1-Lepus_americanus-provirus	RELIK	1	ERV	RELIK.1	Lepus_americanus	provirus	6	pol[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]	7811	PVJM010023064.1	+	14561	22371	RELiK	2234	2630	6077	7270	398	602	88.191	0	1	1
ERV-RELIK.7-Lepus_americanus-provirus	RELIK	7	ERV	RELIK.7	Lepus_americanus	provirus	7	LTR[RELIK(-)]-rev[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]	6728	PVJM010001062.1	-	83461	90188	RELiK	873	1500	1764	3647	631	970	85.103	0	1	5
ERV-RELIK.3-Lepus_americanus-provirus	RELIK	3	ERV	RELIK.3	Lepus_americanus	provirus	8	rev[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-tat[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]	6552	PVJM010083368.1	-	1658	8209	RELiK	798	1699	1320	4025	902	1398	92.35	0	1	0
ERV-RELIK.9-Lepus_americanus-provirus	RELIK	9	ERV	RELIK.9	Lepus_americanus	provirus	9	pol[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]-LTR[RELIK(+)]	6548	PVJM010057256.1	+	2	6549	RELiK	893	1740	1743	4316	858	1304	90.093	0	1	1
ERV-RELIK.10-Lepus_americanus-provirus	RELIK	10	ERV	RELIK.10	Lepus_americanus	provirus	10	rev[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-tat[RELIK(-)]-pol[RELIK(-)]-LTR[RELIK(-)]	6523	PVJM010058017.1	-	307	6829	RELiK	895	1717	2493	4961	823	1270	90.158	0	1	0
ERV-RELIK.4-Lepus_americanus-provirus	RELIK	4	ERV	RELIK.4	Lepus_americanus	provirus	11	env[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	6421	PVJM010097211.1	-	88	6508	RELiK	624	1175	2201	3880	560	781	90.714	0	1	1
ERV-RELIK.12-Lepus_americanus-provirus	RELIK	12	ERV	RELIK.12	Lepus_americanus	provirus	12	LTR[RELIK(+)]-gag[RELIK(+)]-pol[RELIK(+)]	5702	PVJM010103373.1	+	1	5702	RELiK	579	1175	2208	3998	597	922	90.452	0	1	0
ERV-RELIK.13-Lepus_americanus-provirus	RELIK	13	ERV	RELIK.13	Lepus_americanus	provirus	13	env[RELIK(-)]-gag[RELIK(-)]	5194	PVJM010003657.1	-	43161	48354	RELiK	2202	2792	3422	5194	599	778	77.629	0	1	6
ERV-RELIK.14-Lepus_americanus-provirus	RELIK	14	ERV	RELIK.14	Lepus_americanus	provirus	14	LTR[RELIK(+)]-gag[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]-LTR[RELIK(+)]	4934	PVJM010020356.1	+	23828	28761	RELiK	231	580	801	1850	356	103	33.989	3.12	24	7
ERV-RELIK.15-Lepus_americanus-provirus	RELIK	15	ERV	RELIK.15	Lepus_americanus	provirus	15	gag[RELIK(+)]-env[RELIK(+)]	4454	PVJM010121669.1	+	4	4457	RELiK	318	944	2	1879	627	906	83.892	0	1	1
ERV-RELIK.15-Lepus_americanus-provirus	RELIK	15	ERV	RELIK.15	Lepus_americanus	provirus	16	env[RELIK(-)]-env[RELIK(-)]-gag[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	4341	PVJM010037697.1	-	8916	13256	RELiK	451	619	1135	1647	171	118	46.784	1.41	34	1
ERV-RELIK.17-Lepus_americanus-provirus	RELIK	17	ERV	RELIK.17	Lepus_americanus	provirus	17	env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]	4215	PVJM010035557.1	-	708	4922	RELiK	804	1081	1741	2562	278	403	92.086	0	1	1
ERV-RELIK.18-Lepus_americanus-provirus	RELIK	18	ERV	RELIK.18	Lepus_americanus	provirus	18	pol[RELIK(-)]-gag[RELIK(-)]	3983	PVJM010111286.1	-	1181	5163	RELiK	733	1357	1392	3266	626	316	41.214	1.97	90	2
ERV-RELIK.16-Lepus_americanus-provirus	RELIK	16	ERV	RELIK.16	Lepus_americanus	provirus	19	gag[RELIK(-)]	3953	PVJM010063072.1	-	1274	5226	RELiK	1163	1355	2896	3474	193	117	43.005	1.75	72	0
ERV-RELIK.20-Lepus_americanus-provirus	RELIK	20	ERV	RELIK.20	Lepus_americanus	provirus	20	pol[RELIK(+)]-Vif[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]	3940	PVJM010018723.1	+	8436	12375	RELiK	2227	2460	2397	3101	235	378	89.362	0	1	1
ERV-RELIK.21-Lepus_americanus-provirus	RELIK	21	ERV	RELIK.21	Lepus_americanus	provirus	21	pol[RELIK(+)]-Vif[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]	3761	PVJM010070084.1	+	1550	5310	RELiK	2159	2499	1857	2882	342	536	88.012	0	1	1
ERV-RELIK.21-Lepus_americanus-provirus	RELIK	21	ERV	RELIK.21	Lepus_americanus	provirus	22	pol[RELIK(+)]-Vif[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]	3741	PVJM010019645.1	+	11509	15249	RELiK	2159	2599	1851	3176	442	639	88.688	0	1	1
ERV-RELIK.12-Lepus_americanus-provirus	RELIK	12	ERV	RELIK.12	Lepus_americanus	provirus	23	LTR[RELIK(+)]-pol[RELIK(+)]	3547	PVJM010096262.1	+	3067	6613	RELiK	562	1463	856	3546	902	1174	77.494	0	1	4
ERV-RELIK.18-Lepus_americanus-provirus	RELIK	18	ERV	RELIK.18	Lepus_americanus	provirus	24	pol[RELIK(+)]	3489	PVJM010011928.1	+	36006	39494	RELiK	847	1306	1693	3066	461	644	86.334	0	1	4
ERV-RELIK.20-Lepus_americanus-provirus	RELIK	20	ERV	RELIK.20	Lepus_americanus	provirus	25	gag[RELIK(+)]-gag[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]	3467	PVJM010026092.1	+	4862	8328	RELiK	378	619	1047	1778	244	160	47.951	4.1	42	1
ERV-RELIK.26-Lepus_americanus-provirus	RELIK	26	ERV	RELIK.26	Lepus_americanus	provirus	26	env[RELIK(-)]-env[RELIK(-)]-gag[RELIK(-)]-gag[RELIK(-)]	3419	PVJM010020979.1	-	14123	17541	RELiK	352	615	397	1173	269	122	38.662	1.81	30	3
ERV-RELIK.27-Lepus_americanus-provirus	RELIK	27	ERV	RELIK.27	Lepus_americanus	provirus	27	env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]	2953	PVJM010046403.1	-	4491	7443	RELiK	1092	1570	126	1553	480	781	92.917	0	1	2
ERV-RELIK.28-Lepus_americanus-provirus	RELIK	28	ERV	RELIK.28	Lepus_americanus	provirus	28	LTR[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]	2772	PVJM010050045.1	-	443	3214	RELiK	2385	2849	1071	2447	479	702	79.332	0	1	3
ERV-RELIK.29-Lepus_americanus-provirus	RELIK	29	ERV	RELIK.29	Lepus_americanus	provirus	29	env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]	2385	PVJM010181729.1	-	66	2450	RELiK	2529	2744	1738	2385	216	383	89.352	1.88	157	0
ERV-RELIK.25-Lepus_americanus-provirus	RELIK	25	ERV	RELIK.25	Lepus_americanus	provirus	30	env[RELIK(-)]-gag[RELIK(-)]	2176	PVJM010008346.1	-	5017	7192	RELiK	450	615	246	749	168	107	44.048	3.59	34	1
ERV-RELIK.31-Lepus_americanus-provirus	RELIK	31	ERV	RELIK.31	Lepus_americanus	provirus	31	pol[RELIK(+)]	2115	PVJM010146895.1	+	1072	3186	RELiK	1034	1737	3	2114	704	1120	91.761	0	1	0
ERV-RELIK.24-Lepus_americanus-provirus	RELIK	24	ERV	RELIK.24	Lepus_americanus	provirus	32	gag[RELIK(+)]-env[RELIK(+)]	2043	PVJM010088327.1	+	2697	4739	RELiK	204	615	2	1243	415	201	41.446	1.31	56	3
ERV-RELIK.33-Lepus_americanus-provirus	RELIK	33	ERV	RELIK.33	Lepus_americanus	provirus	33	pol[RELIK(+)]	1656	PVJM010226908.1	+	128	1783	RELiK	733	876	207	635	144	91.7	44.444	9.55	57	1
ERV-RELIK.34-Lepus_americanus-provirus	RELIK	34	ERV	RELIK.34	Lepus_americanus	provirus	34	pol[RELIK(+)]-env[RELIK(+)]	1652	PVJM010104259.1	+	3	1654	RELiK	1471	1732	342	1094	262	135	42.748	1.38	35	2
ERV-RELIK.35-Lepus_americanus-provirus	RELIK	35	ERV	RELIK.35	Lepus_americanus	provirus	35	pol[RELIK(-)]-pol[RELIK(-)]	1537	PVJM010240434.1	-	110	1646	RELiK	1049	1314	6	803	266	104	40.977	6.92	26	0
ERV-RELIK.36-Lepus_americanus-provirus	RELIK	36	ERV	RELIK.36	Lepus_americanus	provirus	36	env[RELIK(-)]-pol[RELIK(-)]	1386	PVJM010128007.1	-	2506	3891	RELiK	1471	1689	51	704	219	131	46.119	4.59	35	1
ERV-RELIK.37-Lepus_americanus-provirus	RELIK	37	ERV	RELIK.37	Lepus_americanus	provirus	37	gag[RELIK(-)]	1284	PVJM010238219.1	-	11	1294	RELiK	464	641	677	1210	182	90.5	41.758	1.03	21	4
ERV-RELIK.38-Lepus_americanus-provirus	RELIK	38	ERV	RELIK.38	Lepus_americanus	provirus	38	env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	1219	PVJM010266879.1	+	106	1324	RELiK	2572	2657	9	266	86	160	94.186	9.43	99	0
ERV-RELIK.39-Lepus_americanus-provirus	RELIK	39	ERV	RELIK.39	Lepus_americanus	provirus	39	env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	1088	PVJM010225818.1	+	2	1089	RELiK	2653	2744	136	411	92	167	91.304	4.72	99	0
ERV-RELIK.40-Lepus_americanus-provirus	RELIK	40	ERV	RELIK.40	Lepus_americanus	provirus	40	gag[RELIK(+)]	1077	PVJM010301069.1	+	17	1093	RELiK	282	635	26	1066	360	142	36.944	1.05	39	8
ERV-RELIK.10-Lepus_americanus-provirus	RELIK	10	ERV	RELIK.10	Lepus_americanus	provirus	41	gag[RELIK(-)]-LTR[RELIK(-)]	1076	PVJM010185452.1	-	2	1077	RELiK	1	358	1	1074	363	514	85.124	7.9	169	3
ERV-RELIK.42-Lepus_americanus-provirus	RELIK	42	ERV	RELIK.42	Lepus_americanus	provirus	42	pol[RELIK(+)]	1005	PVJM010343534.1	+	2	1006	RELiK	935	1269	3	1004	335	152	41.791	1.51	43	1
ERV-RELIK.43-Lepus_americanus-provirus	RELIK	43	ERV	RELIK.43	Lepus_americanus	provirus	43	gag[RELIK(+)]	994	PVJM010315435.1	+	101	1094	RELiK	464	597	549	941	134	90.9	44.776	1.86	22	1
ERV-RELIK.44-Lepus_americanus-provirus	RELIK	44	ERV	RELIK.44	Lepus_americanus	provirus	44	gag[RELIK(-)]	994	PVJM010331894.1	-	46	1039	RELiK	464	597	549	941	134	87.4	44.03	2.83	21	1
ERV-RELIK.30-Lepus_americanus-provirus	RELIK	30	ERV	RELIK.30	Lepus_americanus	provirus	45	LTR[RELIK(+)]-gag[RELIK(+)]	922	PVJM010091048.1	+	6287	7208	RELiK	8	307	48	920	300	421	87.333	5.12	137	2
ERV-RELIK.46-Lepus_americanus-provirus	RELIK	46	ERV	RELIK.46	Lepus_americanus	provirus	46	env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	909	PVJM010368713.1	+	2	910	RELiK	2653	2896	136	906	269	251	61.338	9.54	93	5
ERV-RELIK.47-Lepus_americanus-provirus	RELIK	47	ERV	RELIK.47	Lepus_americanus	provirus	47	gag[RELIK(-)]-LTR[RELIK(-)]	803	PVJM010397540.1	-	2	804	RELiK	114	358	70	801	245	352	91.837	7.1	114	1
ERV-RELIK.3-Lepus_americanus-provirus	RELIK	3	ERV	RELIK.3	Lepus_americanus	provirus	48	gag[RELIK(-)]-LTR[RELIK(-)]	724	PVJM010404779.1	-	54	777	RELiK	64	304	3	722	241	375	89.627	2.77	122	1
ERV-RELIK.49-Lepus_americanus-provirus	RELIK	49	ERV	RELIK.49	Lepus_americanus	provirus	49	env[RELIK(-)]	712	PVJM010376242.1	-	26	737	RELiK	2397	2570	193	711	174	256	78.736	6.06	81	1
ERV-RELIK.50-Lepus_americanus-provirus	RELIK	50	ERV	RELIK.50	Lepus_americanus	provirus	50	LTR[RELIK(-)]-rev[RELIK(-)]	561	PVJM010257665.1	-	937	1497	RELiK	2754	2936	1	561	187	236	80.214	1.06	74	1
ERV-RELIK.7-Lepus_americanus-LTR	RELIK	7	ERV	RELIK.7	Lepus_americanus	solo LTR	51	LTR[RELIK(+)]	521	PVJM010007772.1	+	1916	2436	RELiK	2870	2934	243	455	77	85.9	68.831	2.2	22	2
ERV-RELIK.52-Lepus_americanus-LTR	RELIK	52	ERV	RELIK.52	Lepus_americanus	solo LTR	52	LTR[RELIK(+)]	503	PVJM010004564.1	+	37187	37689	RELiK	1	94	1	282	94	157	89.362	1.88	56	0
ERV-RELIK.53-Lepus_americanus-LTR	RELIK	53	ERV	RELIK.53	Lepus_americanus	solo LTR	53	LTR[RELIK(+)]	498	PVJM010106238.1	+	297	794	RELiK	2807	2956	20	496	159	209	76.101	6.89	66	1
ERV-RELIK.54-Lepus_americanus-LTR	RELIK	54	ERV	RELIK.54	Lepus_americanus	solo LTR	54	LTR[RELIK(+)]	498	PVJM010378083.1	+	20	517	RELiK	2807	2954	20	490	157	185	76.433	3.55	57	1
ERV-RELIK.55-Lepus_americanus-LTR	RELIK	55	ERV	RELIK.55	Lepus_americanus	solo LTR	55	LTR[RELIK(-)]	496	PVJM010264399.1	-	244	739	RELiK	8	165	46	495	158	203	82.278	1.1	63	1
ERV-RELIK.34-Lepus_americanus-LTR	RELIK	34	ERV	RELIK.34	Lepus_americanus	solo LTR	56	LTR[RELIK(+)]	496	PVJM010029544.1	+	11300	11795	RELiK	2799	2956	48	494	158	215	79.114	9.45	68	1
ERV-RELIK.57-Lepus_americanus-LTR	RELIK	57	ERV	RELIK.57	Lepus_americanus	solo LTR	57	LTR[RELIK(-)]	494	PVJM010031016.1	-	9926	10419	RELiK	2792	2943	1	453	160	197	73.75	2.13	61	2
ERV-RELIK.58-Lepus_americanus-LTR	RELIK	58	ERV	RELIK.58	Lepus_americanus	solo LTR	58	LTR[RELIK(+)]	493	PVJM010324702.1	+	1	493	RELiK	8	122	38	358	115	160	76.522	7.59	51	1
ERV-RELIK.33-Lepus_americanus-LTR	RELIK	33	ERV	RELIK.33	Lepus_americanus	solo LTR	59	LTR[RELIK(+)]	493	PVJM010048545.1	+	12121	12613	RELiK	2792	2953	1	483	162	214	79.012	2.82	67	1
ERV-RELIK.41-Lepus_americanus-LTR	RELIK	41	ERV	RELIK.41	Lepus_americanus	solo LTR	60	LTR[RELIK(+)]	493	PVJM010053903.1	+	9832	10324	RELiK	1	165	1	492	165	219	85.455	3.62	69	1
ERV-RELIK.61-Lepus_americanus-LTR	RELIK	61	ERV	RELIK.61	Lepus_americanus	solo LTR	61	LTR[RELIK(+)]	491	PVJM010449426.1	+	161	651	RELiK	2807	2954	20	490	157	187	77.07	3.19	58	1
ERV-RELIK.62-Lepus_americanus-LTR	RELIK	62	ERV	RELIK.62	Lepus_americanus	solo LTR	62	LTR[RELIK(+)]	491	PVJM010380196.1	+	376	866	RELiK	2807	2954	20	490	157	187	77.07	2.92	58	1
ERV-RELIK.36-Lepus_americanus-LTR	RELIK	36	ERV	RELIK.36	Lepus_americanus	solo LTR	63	LTR[RELIK(+)]	486	PVJM010010882.1	+	6190	6675	RELiK	2799	2909	21	350	111	145	75.676	2.01	43	1
ERV-RELIK.64-Lepus_americanus-LTR	RELIK	64	ERV	RELIK.64	Lepus_americanus	solo LTR	64	LTR[RELIK(-)]	485	PVJM010000760.1	-	63445	63929	RELiK	8	111	48	320	105	100	60	9.72	48	2
ERV-RELIK.37-Lepus_americanus-LTR	RELIK	37	ERV	RELIK.37	Lepus_americanus	solo LTR	65	LTR[RELIK(+)]	485	PVJM010000877.1	+	69671	70155	RELiK	68	121	148	315	56	88.6	87.5	9.82	41	1
ERV-RELIK.59-Lepus_americanus-LTR	RELIK	59	ERV	RELIK.59	Lepus_americanus	solo LTR	66	LTR[RELIK(+)]	484	PVJM010007266.1	+	25872	26355	RELiK	2799	2913	2	316	115	127	66.957	5.38	37	2
ERV-RELIK.67-Lepus_americanus-LTR	RELIK	67	ERV	RELIK.67	Lepus_americanus	solo LTR	67	LTR[RELIK(-)]	480	PVJM010001896.1	-	73330	73809	RELiK	2846	2900	147	347	67	92	71.642	5.33	34	1
ERV-RELIK.68-Lepus_americanus-LTR	RELIK	68	ERV	RELIK.68	Lepus_americanus	solo LTR	68	LTR[RELIK(-)]	462	PVJM010301896.1	-	110	571	RELiK	1	112	1	339	113	142	77.876	1.46	42	1
ERV-RELIK.69-Lepus_americanus-LTR	RELIK	69	ERV	RELIK.69	Lepus_americanus	solo LTR	69	LTR[RELIK(+)]	461	PVJM010127727.1	+	2874	3334	RELiK	2792	2956	1	459	170	153	62.353	2.69	46	5
ERV-RELIK.70-Lepus_americanus-LTR	RELIK	70	ERV	RELIK.70	Lepus_americanus	solo LTR	70	LTR[RELIK(+)]	461	PVJM010035190.1	+	19364	19824	RELiK	2792	2956	1	459	170	149	62.941	4.68	45	5
ERV-RELIK.71-Lepus_americanus-LTR	RELIK	71	ERV	RELIK.71	Lepus_americanus	solo LTR	71	LTR[RELIK(-)]	461	PVJM010109483.1	-	293	753	RELiK	2799	2898	50	322	100	115	70	3.33	50	1
ERV-RELIK.52-Lepus_americanus-LTR	RELIK	52	ERV	RELIK.52	Lepus_americanus	solo LTR	72	LTR[RELIK(+)]	459	PVJM010067592.1	+	8346	8804	RELiK	2792	2943	1	417	152	207	78.947	2.03	65	2
ERV-RELIK.73-Lepus_americanus-LTR	RELIK	73	ERV	RELIK.73	Lepus_americanus	solo LTR	73	LTR[RELIK(-)]	459	PVJM010403283.1	-	110	568	RELiK	1	135	1	369	136	122	63.235	1.25	35	3
ERV-RELIK.74-Lepus_americanus-LTR	RELIK	74	ERV	RELIK.74	Lepus_americanus	solo LTR	74	LTR[RELIK(+)]	456	PVJM010079287.1	+	5793	6248	RELiK	2799	2956	2	454	158	209	79.114	9.16	66	1
ERV-RELIK.75-Lepus_americanus-LTR	RELIK	75	ERV	RELIK.75	Lepus_americanus	solo LTR	75	LTR[RELIK(-)]	456	PVJM010043866.1	-	6639	7094	RELiK	2799	2900	48	326	102	129	71.569	1.32	52	1
ERV-RELIK.76-Lepus_americanus-LTR	RELIK	76	ERV	RELIK.76	Lepus_americanus	solo LTR	76	LTR[RELIK(+)]	456	PVJM010069038.1	+	8204	8659	RELiK	2807	2956	20	454	152	193	77.632	2.07	60	3
ERV-RELIK.77-Lepus_americanus-LTR	RELIK	77	ERV	RELIK.77	Lepus_americanus	solo LTR	77	LTR[RELIK(-)]	455	PVJM010032561.1	-	20697	21151	RELiK	17	139	3	368	123	203	91.87	9.39	64	1
ERV-RELIK.78-Lepus_americanus-LTR	RELIK	78	ERV	RELIK.78	Lepus_americanus	solo LTR	78	LTR[RELIK(-)]	455	PVJM010034212.1	-	4679	5133	RELiK	16	165	20	454	154	170	76.623	3.24	52	3
ERV-RELIK.53-Lepus_americanus-LTR	RELIK	53	ERV	RELIK.53	Lepus_americanus	solo LTR	79	LTR[RELIK(+)]	450	PVJM010016500.1	+	20709	21158	RELiK	2799	2956	2	448	173	154	61.85	1.59	46	5
ERV-RELIK.48-Lepus_americanus-LTR	RELIK	48	ERV	RELIK.48	Lepus_americanus	solo LTR	80	LTR[RELIK(+)]	449	PVJM010054085.1	+	7575	8023	RELiK	2808	2925	3	353	118	140	74.576	4.55	46	1
ERV-RELIK.57-Lepus_americanus-LTR	RELIK	57	ERV	RELIK.57	Lepus_americanus	solo LTR	81	LTR[RELIK(+)]	449	PVJM010069504.1	+	6580	7028	RELiK	2792	2956	1	447	166	105	51.807	9.21	30	6
