sequenceID	record_id	organism	target_datatype	target_version	target_name	scaffold	orientation	assigned_name	extract_start	extract_end	locus_structure	sequence_length
Lepus_americanus_24320	24320	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010103373.1	+	0	1	5702	LTR[RELIK(+)]-gag[RELIK(+)]-pol[RELIK(+)]	5702
Lepus_americanus_24084	24084	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010097211.1	-	0	88	6508	env[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	6421
Lepus_americanus_24510	24510	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010058017.1	-	0	307	6829	rev[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-tat[RELIK(-)]-pol[RELIK(-)]-LTR[RELIK(-)]	6523
Lepus_americanus_24271	24271	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010057256.1	+	0	2	6549	pol[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]-LTR[RELIK(+)]	6548
Lepus_americanus_24757	24757	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010083368.1	-	0	1658	8209	rev[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-tat[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]	6552
Lepus_americanus_24723	24723	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010001062.1	-	0	83461	90188	LTR[RELIK(-)]-rev[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]	6728
Lepus_americanus_24284	24284	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010023064.1	+	0	14561	22371	pol[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]	7811
Lepus_americanus_24487	24487	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010018742.1	-	0	1355	9543	env[RELIK(-)]-env[RELIK(-)]-tat[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-LEA[RELIK(-)]	8189
Lepus_americanus_24477	24477	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010004328.1	+	0	39430	48094	LTR[RELIK(+)]-pol[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	8665
Lepus_timidus_24242	24242	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019672.1	+	0	31162555	31162956	LTR[RELIK(+)]	402
Lepus_timidus_24047	24047	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019681.1	-	0	58081531	58081933	LTR[RELIK(-)]	403
Lepus_timidus_24189	24189	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019676.1	-	0	40572395	40572797	LTR[RELIK(-)]	403
Lepus_timidus_24372	24372	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019685.1	-	0	30176548	30176952	LTR[RELIK(-)]	405
Lepus_timidus_24187	24187	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019681.1	+	0	90975146	90975553	LTR[RELIK(+)]	408
Lepus_timidus_24026	24026	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019671.1	+	0	13431924	13432332	LTR[RELIK(+)]	409
Lepus_timidus_24448	24448	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019681.1	+	0	66534122	66534530	LTR[RELIK(+)]	409
Lepus_timidus_24285	24285	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019682.1	+	0	13719217	13719629	LTR[RELIK(+)]	413
Lepus_timidus_24621	24621	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019669.1	+	0	126418499	126418911	LTR[RELIK(+)]	413
Lepus_timidus_24776	24776	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019672.1	-	0	14600021	14600438	LTR[RELIK(-)]	418
Lepus_timidus_24597	24597	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	+	0	73265002	73265420	LTR[RELIK(+)]	419
Lepus_timidus_24126	24126	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019682.1	-	0	105152720	105153139	LTR[RELIK(-)]	420
Lepus_timidus_24253	24253	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019675.1	-	0	151238159	151238579	LTR[RELIK(-)]	421
Lepus_timidus_24413	24413	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019682.1	-	0	109700324	109700752	LTR[RELIK(-)]	429
Lepus_timidus_24048	24048	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019690.1	-	0	65127544	65127976	LTR[RELIK(-)]	433
Lepus_timidus_24783	24783	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	-	0	37647968	37648402	LTR[RELIK(-)]	435
Lepus_timidus_24426	24426	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000325.1	+	0	2941120	2941555	LTR[RELIK(+)]	436
Lepus_timidus_24713	24713	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019679.1	+	0	26311841	26312276	LTR[RELIK(+)]	436
Lepus_timidus_24398	24398	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	-	0	108813812	108814248	LTR[RELIK(-)]	437
Lepus_timidus_24017	24017	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	+	0	104103441	104103878	LTR[RELIK(+)]	438
Lepus_timidus_24123	24123	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	+	0	147333578	147334020	LTR[RELIK(+)]	443
Lepus_timidus_24158	24158	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019676.1	-	0	33872785	33873233	LTR[RELIK(-)]	449
Lepus_timidus_24350	24350	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019683.1	+	0	40337457	40337905	LTR[RELIK(+)]	449
Lepus_timidus_24100	24100	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019683.1	-	0	95303503	95303952	LTR[RELIK(-)]	450
Lepus_timidus_24120	24120	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019679.1	-	0	45338264	45338713	LTR[RELIK(-)]	450
Lepus_timidus_24458	24458	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019690.1	+	0	42739412	42739862	LTR[RELIK(+)]	451
Lepus_timidus_24667	24667	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019679.1	+	0	46824293	46824743	LTR[RELIK(+)]	451
Lepus_timidus_24399	24399	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019682.1	+	0	22381582	22382034	LTR[RELIK(+)]	453
Lepus_timidus_24432	24432	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019675.1	+	0	158464860	158465312	LTR[RELIK(+)]	453
Lepus_timidus_24124	24124	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	-	0	71731009	71731462	LTR[RELIK(-)]	454
Lepus_timidus_24548	24548	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019671.1	-	0	116035332	116035787	LTR[RELIK(-)]	456
Lepus_timidus_24452	24452	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019671.1	-	0	114788614	114789070	LTR[RELIK(-)]	457
Lepus_timidus_24097	24097	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019681.1	+	0	117829668	117830126	LTR[RELIK(+)]	459
Lepus_timidus_24502	24502	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019672.1	+	0	35035801	35036259	LTR[RELIK(+)]	459
Lepus_timidus_24626	24626	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019684.1	+	0	80964959	80965417	LTR[RELIK(+)]	459
Lepus_timidus_24333	24333	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000333.1	-	0	302382	302841	LTR[RELIK(-)]	460
Lepus_timidus_24475	24475	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019676.1	-	0	39299204	39299665	LTR[RELIK(-)]	462
Lepus_timidus_24633	24633	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	-	0	150887031	150887494	LTR[RELIK(-)]	464
Lepus_timidus_24486	24486	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019678.1	+	0	2879848	2880312	LTR[RELIK(+)]	465
Lepus_timidus_24235	24235	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000388.1	-	0	60266	60732	LTR[RELIK(-)]	467
Lepus_timidus_24086	24086	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019669.1	-	0	187305206	187305676	LTR[RELIK(-)]	471
Lepus_timidus_24325	24325	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	-	0	159491103	159491581	LTR[RELIK(-)]	479
Lepus_timidus_24128	24128	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019683.1	-	0	51986848	51987333	LTR[RELIK(-)]	486
Lepus_timidus_24199	24199	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019677.1	+	0	112821681	112822168	LTR[RELIK(+)]	488
Lepus_timidus_24341	24341	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01003350.1	-	0	7714	8202	LTR[RELIK(-)]	489
Lepus_timidus_24076	24076	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	-	0	169444516	169445008	LTR[RELIK(-)]	493
Lepus_timidus_24101	24101	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019681.1	-	0	134527132	134527625	LTR[RELIK(-)]	494
Lepus_timidus_24444	24444	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019673.1	+	0	36818323	36818818	LTR[RELIK(+)]	496
Lepus_timidus_24232	24232	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019690.1	+	0	91732782	91733279	LTR[RELIK(+)]	498
Lepus_timidus_24708	24708	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000529.1	-	0	12413	12910	LTR[RELIK(-)]	498
Lepus_timidus_24303	24303	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019682.1	+	0	6104130	6104649	LTR[RELIK(+)]	520
Lepus_timidus_24172	24172	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	-	0	151864032	151864552	LTR[RELIK(-)]	521
Lepus_timidus_24536	24536	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019670.1	+	0	165120519	165121073	LTR[RELIK(+)]-LTR[RELIK(+)]	555
Lepus_timidus_24241	24241	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019682.1	-	0	27065336	27065902	LTR[RELIK(-)]-LTR[RELIK(-)]	567
Lepus_timidus_24133	24133	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000019.1	+	0	2169	2740	env[RELIK(+)]	572
Lepus_timidus_24676	24676	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000268.1	-	0	2965368	2966365	gag[RELIK(-)]-gag[RELIK(-)]	998
Lepus_timidus_24466	24466	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019671.1	-	0	81823233	81825251	env[RELIK(-)]-gag[RELIK(-)]	2019
Lepus_timidus_24038	24038	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019675.1	-	0	19984579	19987001	env[RELIK(-)]-gag[RELIK(-)]	2423
Lepus_timidus_24380	24380	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019672.1	+	0	17578225	17580672	env[RELIK(+)]	2448
Lepus_timidus_24334	24334	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019672.1	+	0	2071901	2074369	gag[RELIK(+)]-pol[RELIK(+)]	2469
Lepus_timidus_24450	24450	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019681.1	+	0	55751871	55754647	pol[RELIK(+)]-env[RELIK(+)]-LTR[RELIK(+)]	2777
Lepus_timidus_24584	24584	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019673.1	+	0	36793786	36796562	pol[RELIK(+)]-env[RELIK(+)]-LTR[RELIK(+)]	2777
Lepus_timidus_24714	24714	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019675.1	+	0	76393484	76396551	gag[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]	3068
Lepus_timidus_24622	24622	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000098.1	+	0	111875	115081	LTR[RELIK(+)]-pol[RELIK(+)]	3207
Lepus_timidus_24471	24471	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000235.1	-	0	1244341	1247838	pol[RELIK(-)]	3498
Lepus_timidus_24754	24754	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019681.1	-	0	88990318	88994504	pol[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	4187
Lepus_timidus_24312	24312	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019680.1	-	0	60812455	60816808	env[RELIK(-)]-pol[RELIK(-)]-LTR[RELIK(-)]	4354
Lepus_timidus_24315	24315	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019680.1	-	0	105336720	105341269	env[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	4550
Lepus_timidus_24619	24619	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000176.1	-	0	297538	302251	env[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]	4714
Lepus_timidus_24059	24059	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019685.1	+	0	29967409	29972819	env[RELIK(+)]-rev[RELIK(+)]-gag[RELIK(+)]	5411
Lepus_timidus_24771	24771	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019669.1	+	0	175992223	175997669	LTR[RELIK(+)]-gag[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]-LTR[RELIK(+)]	5447
Lepus_timidus_24777	24777	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000113.1	+	0	274573	281320	gag[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]	6748
Lepus_timidus_24772	24772	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019676.1	+	0	47640458	47647261	LTR[RELIK(+)]-LTR[RELIK(+)]-gag[RELIK(+)]-rev[RELIK(+)]-LTR[RELIK(+)]	6804
Lepus_timidus_24141	24141	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019673.1	+	0	36805698	36812570	LTR[RELIK(+)]-gag[RELIK(+)]-env[RELIK(+)]-env[RELIK(+)]-LTR[RELIK(+)]	6873
Lepus_timidus_24053	24053	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019669.1	+	0	165000930	165008233	LEA[RELIK(+)]-gag[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]	7304
Lepus_timidus_24562	24562	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019682.1	+	0	108239081	108246849	pol[RELIK(+)]-pol[RELIK(+)]-env[RELIK(+)]	7769
Lepus_timidus_24039	24039	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000538.1	-	0	2711	11419	LTR[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-LEA[RELIK(-)]	8709
Lepus_timidus_24660	24660	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019681.1	-	0	112914682	112924045	LTR[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]	9364
Lepus_timidus_24067	24067	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	VUAX01000176.1	-	0	328257	337919	LTR[RELIK(-)]-env[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-gag[RELIK(-)]-gag[RELIK(-)]-LTR[RELIK(-)]-LTR[RELIK(-)]	9663
Lepus_timidus_24299	24299	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019683.1	-	0	66511769	66522942	LTR[RELIK(-)]-env[RELIK(-)]-pol[RELIK(-)]-LTR[RELIK(-)]	11174
Microcebus_griseorufus_24553	24553	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01475791.1	+	0	982	1400	LTR[pSIVgml(+)]-rev[pSIVgml(+)]	419
Microcebus_griseorufus_24229	24229	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01183987.1	+	0	37893	38312	LTR[pSIVgml(+)]-rev[pSIVgml(+)]	420
Microcebus_griseorufus_24488	24488	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01066237.1	+	0	6877	7296	LTR[pSIVgml(+)]-rev[pSIVgml(+)]	420
Microcebus_griseorufus_24627	24627	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01252309.1	+	0	3987	4406	LTR[pSIVgml(+)]-rev[pSIVgml(+)]	420
Microcebus_griseorufus_24628	24628	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01190802.1	+	0	10960	11379	LTR[pSIVgml(+)]-rev[pSIVgml(+)]	420
Microcebus_griseorufus_24724	24724	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01332051.1	-	0	2686	3105	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	420
Microcebus_griseorufus_24263	24263	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01132181.1	+	0	29874	30295	rev[pSIVgml(+)]-LTR[pSIVgml(+)]	422
Microcebus_griseorufus_24368	24368	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01222554.1	-	0	3293	3714	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	422
Microcebus_griseorufus_24390	24390	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01070157.1	-	0	2997	3418	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	422
Microcebus_griseorufus_24653	24653	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01257546.1	+	0	395	816	LTR[pSIVgml(+)]-rev[pSIVgml(+)]	422
Microcebus_griseorufus_24669	24669	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01202246.1	-	0	8366	8787	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	422
Microcebus_griseorufus_24763	24763	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01422719.1	-	0	14229	14650	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	422
Microcebus_griseorufus_24469	24469	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01086649.1	-	0	32080	32502	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	423
Microcebus_griseorufus_24020	24020	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01433890.1	-	0	28145	28571	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	427
Microcebus_griseorufus_24016	24016	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01347163.1	-	0	919	1346	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	428
Microcebus_griseorufus_24476	24476	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01016508.1	+	0	8431	10100	LTR[pSIVgml(+)]-rev[pSIVgml(+)]-gag[pSIVgml(+)]	1670
Microcebus_griseorufus_24140	24140	Microcebus_griseorufus	low_coverage	Mgri_1.0	GCA_008750995.1_Mgri_1.0_genomic.fna	VSMI01178616.1	+	0	3	6480	pol[pSIVgml(+)]-LTR[pSIVgml(+)]	6478
Microcebus_mittermeieri_24050	24050	Microcebus_mittermeieri	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	VSMH01158022.1	-	0	967	1367	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	401
Microcebus_mittermeieri_24377	24377	Microcebus_mittermeieri	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	VSMH01510833.1	-	0	4295	4705	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	411
Microcebus_mittermeieri_24027	24027	Microcebus_mittermeieri	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	VSMH01020143.1	-	0	6642	7057	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	416
Microcebus_mittermeieri_24066	24066	Microcebus_mittermeieri	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	VSMH01266826.1	+	0	2291	2710	LTR[pSIVgml(+)]-rev[pSIVgml(+)]	420
Microcebus_mittermeieri_24233	24233	Microcebus_mittermeieri	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	VSMH01413430.1	-	0	2022	2441	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	420
Microcebus_mittermeieri_24703	24703	Microcebus_mittermeieri	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	VSMH01410802.1	-	0	1612	2031	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	420
Microcebus_mittermeieri_24389	24389	Microcebus_mittermeieri	low_coverage	Mmit_1.0	GCA_008750955.1_Mmit_1.0_genomic.fna	VSMH01504059.1	-	0	37162	37582	LTR[pSIVgml(-)]-rev[pSIVgml(-)]	421
