sequenceID	record_ID	organism	virus_subgenus	virus_clade	assigned_name	assigned_gene	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches
2568483_Lepus_americanus	2568483	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010301069.1	17	1093	1077	+	386	55.738	3	133	75	434	4	1059	366	7	142
2978786_Lepus_americanus	2978786	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010301896.1	110	571	462	-	379	88.11	4	109	1	321	1	324	328	7	28
2978766_Lepus_americanus	2978766	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010315367.1	13	394	382	+	490	89.691	1	142	109	496	1	382	388	2	34
2568502_Lepus_americanus	2568502	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010315435.1	101	1094	994	+	222	60.396	7	70	215	414	422	994	202	3	67
2978777_Lepus_americanus	2978777	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010318221.1	528	835	308	-	375	88.673	3	108	189	496	1	308	309	2	33
2978759_Lepus_americanus	2978759	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010324702.1	1	493	493	+	693	92.292	0	1	11	496	1	493	493	2	31
2978698_Lepus_americanus	2978698	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010326271.1	707	1083	377	-	580	94.43	8	170	120	496	1	377	377	0	21
2568481_Lepus_americanus	2568481	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010331894.1	46	1039	994	-	221	60.396	1	69	215	414	422	994	202	3	67
2978735_Lepus_americanus	2978735	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010335994.1	605	905	301	+	313	85.43	3	89	195	496	1	301	302	1	43
2978695_Lepus_americanus	2978695	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010342015.1	1	283	283	-	374	90.559	1	107	109	394	1	280	286	2	21
2647612_Lepus_americanus	2647612	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010343534.1	2	1006	1005	+	493	71.131	7	168	306	641	1	1005	336	1	96
2647595_Lepus_americanus	2647595	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010345096.1	2	998	997	-	398	72.624	6	135	89	351	1	786	263	1	71
2647586_Lepus_americanus	2647586	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010346407.1	24	938	915	+	399	65.246	3	132	47	351	1	912	305	1	105
1433441_Lepus_americanus	1433441	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010368713.1	2	415	414	+	163	93.103	9	66	743	828	140	400	87	1	5
2978761_Lepus_americanus	2978761	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010368713.1	592	910	319	+	466	93.103	2	135	1	317	1	319	319	1	20
1433352_Lepus_americanus	1433352	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010376242.1	26	737	712	-	227	82.184	3	70	486	659	194	712	174	1	30
2978676_Lepus_americanus	2978676	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010378083.1	20	517	498	+	686	91.566	0	1	1	496	1	498	498	1	40
2978774_Lepus_americanus	2978774	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010380196.1	376	866	491	+	689	92.057	0	1	1	489	1	491	491	1	37
1239895_Lepus_americanus	1239895	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010397540.1	2	481	480	-	277	95	5	94	1	160	1	480	160	0	8
2979038_Lepus_americanus	2979038	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010397540.1	484	804	321	-	254	95.031	2	71	336	496	66	226	161	0	8
2978745_Lepus_americanus	2978745	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010400464.1	391	795	405	+	608	93.857	4	178	1	404	1	405	407	3	20
2978804_Lepus_americanus	2978804	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010403283.1	110	568	459	-	394	88.957	1	113	1	321	1	322	326	6	27
1239928_Lepus_americanus	1239928	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010404779.1	54	371	318	-	179	98.113	10	57	1	106	1	318	106	0	2
2978711_Lepus_americanus	2978711	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010404779.1	469	777	309	-	433	91.909	2	125	188	496	1	309	309	0	25
2210541_Lepus_americanus	2210541	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010434046.1	1	693	693	-	375	76.087	2	124	357	586	1	690	230	0	55
1239885_Lepus_americanus	1239885	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010438416.1	364	648	285	+	108	59.375	3	30	29	124	1	285	96	1	38
1239886_Lepus_americanus	1239886	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010440580.1	327	659	333	+	124	61.607	5	36	13	124	1	333	112	1	42
1239929_Lepus_americanus	1239929	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010445563.1	314	646	333	+	122	60.714	4	35	13	124	1	333	112	1	43
2978719_Lepus_americanus	2978719	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010447409.1	253	658	406	+	604	93.627	5	177	1	404	1	406	408	3	20
2978740_Lepus_americanus	2978740	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010449426.1	161	651	491	+	684	91.853	0	1	1	489	1	491	491	1	38
2978677_Lepus_americanus	2978677	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010496601.1	181	554	374	-	512	91.27	3	149	119	496	1	374	378	2	29
2978751_Lepus_americanus	2978751	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010504096.1	181	541	361	-	477	90.437	1	138	131	496	1	361	366	3	30
2647602_Lepus_americanus	2647602	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010534119.1	1	471	471	+	219	71.895	4	68	576	728	1	459	153	0	43
1433314_Lepus_americanus	1433314	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010536735.1	168	437	270	+	175	95.455	1	53	660	747	7	270	88	0	4
2978668_Lepus_americanus	2978668	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010558919.1	108	461	354	-	516	92.938	2	150	143	496	1	354	354	0	25
2978661_Lepus_americanus	2978661	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010580697.1	1	205	205	+	274	90.732	8	78	292	496	1	205	205	0	19
2978764_Lepus_americanus	2978764	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010587504.1	77	429	353	-	486	91.525	2	141	143	496	1	353	354	1	29
2978762_Lepus_americanus	2978762	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010600478.1	237	416	180	+	243	91.111	2	68	1	178	1	180	180	1	14
2978784_Lepus_americanus	2978784	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010620955.1	77	379	303	-	241	91.061	1	67	143	321	1	178	179	1	15
2210194_Lepus_americanus	2210194	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010636306.1	2	397	396	+	220	73.485	1	68	419	550	1	396	132	0	35
1325098_Lepus_americanus	1325098	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010656152.1	77	397	321	+	100	52.778	4	27	47	154	1	321	108	1	50
1239896_Lepus_americanus	1239896	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010659409.1	2	199	198	+	96	96.97	2	26	44	109	1	198	66	0	2
2978768_Lepus_americanus	2978768	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010677294.1	198	389	192	-	226	87.624	2	63	223	424	1	192	202	3	15
1239906_Lepus_americanus	1239906	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010683061.1	1	198	198	-	133	96.97	6	40	105	170	1	198	66	0	2
2978712_Lepus_americanus	2978712	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010690187.1	104	313	210	-	158	81.043	9	43	180	386	1	204	211	9	29
1239900_Lepus_americanus	1239900	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010697868.1	2	382	381	+	216	96.85	8	71	44	170	1	381	127	0	4
1239907_Lepus_americanus	1239907	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010705261.1	44	298	255	+	166	91.765	5	52	108	192	1	255	85	0	7
1239925_Lepus_americanus	1239925	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010711750.1	40	294	255	+	164	90.588	2	51	108	192	1	255	85	0	8
2210273_Lepus_americanus	2210273	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010730893.1	2	361	360	+	193	75	1	59	522	641	1	360	120	0	30
2978756_Lepus_americanus	2978756	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010764726.1	17	220	204	+	158	80.952	8	43	180	386	1	204	210	7	31
2978666_Lepus_americanus	2978666	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010767053.1	161	340	180	+	243	91.111	2	68	1	178	1	180	180	1	14
2978771_Lepus_americanus	2978771	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010777392.1	244	335	92	-	143	94.565	1	38	405	496	1	92	92	0	5
1239911_Lepus_americanus	1239911	Lepus_americanus	Non-primate	Lagomorph	RELIK	gag	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010796796.1	2	316	315	+	81	43.81	2	20	366	465	1	315	105	2	54
2978754_Lepus_americanus	2978754	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010815444.1	1	157	157	-	213	91.083	1	59	143	299	1	157	157	0	14
2978694_Lepus_americanus	2978694	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010888181.1	1	283	283	-	363	89.86	2	104	109	394	1	280	286	2	23
2978718_Lepus_americanus	2978718	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010895872.1	1	290	290	-	409	92.069	3	118	188	477	1	290	290	0	23
2978798_Lepus_americanus	2978798	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010961519.1	1	275	275	-	250	93.976	2	70	157	322	1	165	166	1	9
1325159_Lepus_americanus	1325159	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010988009.1	6	266	261	+	97	57.955	3	26	67	154	1	261	88	1	36
2978729_Lepus_americanus	2978729	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM011034554.1	1	183	183	-	147	81.383	2	39	180	365	1	183	188	5	28
3186480_Lepus_timidus	3186480	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	55160855	55161052	198	+	139	79.703	3	37	246	444	1	198	202	7	34
3186547_Lepus_timidus	3186547	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	126418499	126418911	413	+	411	93.478	1	118	47	322	1	276	276	0	18
3186528_Lepus_timidus	3186528	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	136112182	136112536	355	-	294	91.364	1	83	109	321	1	220	220	3	12
3186552_Lepus_timidus	3186552	Lepus_timidus	Non-primate	Lagomorph	RELIK	LEA	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	165000930	165001026	97	+	137	92	5	37	1	100	1	97	100	2	5
3171803_Lepus_timidus	3171803	Lepus_timidus	Non-primate	Lagomorph	RELIK	gag	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	CM019669.1	165001027	165001473	447	+	241	92.617	4	80	1	149	1	447	149	0	11
3241131_Lepus_timidus	3241131	Lepus_timidus	Non-primate	Lagomorph	RELIK	pol	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	CM019669.1	165004243	165007490	3248	+	469	93.525	0	1	176	453	1522	2343	278	1	14
3186382_Lepus_timidus	3186382	Lepus_timidus	Non-primate	Lagomorph	RELIK	env	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	CM019669.1	165007532	165008233	702	+	175	93.182	5	90	121	208	1	264	88	0	6
3186554_Lepus_timidus	3186554	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	175992223	175992815	593	+	697	92.153	0	1	1	496	1	492	497	5	33
3233868_Lepus_timidus	3233868	Lepus_timidus	Non-primate	Lagomorph	RELIK	gag	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	CM019669.1	175992816	175994011	1196	+	618	92.697	0	1	39	394	129	1196	356	0	26
3227973_Lepus_timidus	3227973	Lepus_timidus	Non-primate	Lagomorph	RELIK	pol	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	CM019669.1	175995341	175995915	575	+	207	80.597	5	63	976	1109	117	518	134	0	26
3186386_Lepus_timidus	3186386	Lepus_timidus	Non-primate	Lagomorph	RELIK	env	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	ORF	CM019669.1	175995999	175996904	906	+	380	94.222	4	127	496	720	232	906	225	0	13
3186536_Lepus_timidus	3186536	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	175997263	175997669	407	+	424	90.149	2	122	1	322	1	335	335	2	20
3186485_Lepus_timidus	3186485	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	176750030	176750324	295	+	309	85.619	3	88	200	496	1	295	299	5	37
3186454_Lepus_timidus	3186454	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	176834845	176835154	310	-	401	90.064	5	116	186	496	1	310	312	2	28
3186516_Lepus_timidus	3186516	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	177041094	177041230	137	+	126	83.333	2	33	184	321	1	137	138	1	22
3186535_Lepus_timidus	3186535	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019669.1	187305206	187305676	471	-	398	88.957	1	114	1	320	1	326	326	4	30
3186501_Lepus_timidus	3186501	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	23514542	23514860	319	+	363	87.147	3	104	178	496	1	319	319	0	41
3186510_Lepus_timidus	3186510	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	37647968	37648402	435	-	584	90.667	7	171	47	496	1	435	450	2	27
3186521_Lepus_timidus	3186521	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	41233871	41234188	318	-	377	88.088	9	109	178	496	1	318	319	1	37
3186519_Lepus_timidus	3186519	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	71731009	71731462	454	-	619	91.447	0	1	47	496	1	454	456	2	31
3186464_Lepus_timidus	3186464	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	73265002	73265420	419	+	516	89.019	3	150	47	468	1	419	428	4	32
3186431_Lepus_timidus	3186431	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	104103441	104103878	438	+	555	89.333	6	162	47	496	1	438	450	6	36
3186544_Lepus_timidus	3186544	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	108813812	108814248	437	-	298	84.615	1	84	1	322	1	300	325	9	22
3186498_Lepus_timidus	3186498	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	138442411	138442774	364	-	464	89.891	8	135	135	495	1	364	366	3	30
3186492_Lepus_timidus	3186492	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	147333578	147334020	443	+	575	90.022	4	168	47	496	1	443	451	8	36
3186527_Lepus_timidus	3186527	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	150887031	150887494	464	-	383	88.146	3	110	1	322	1	327	329	3	30
3186477_Lepus_timidus	3186477	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	151864032	151864552	521	-	590	88.023	2	172	1	496	1	521	526	14	28
3186499_Lepus_timidus	3186499	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	151872297	151872625	329	-	435	90.964	6	126	1	321	1	329	332	6	16
3186518_Lepus_timidus	3186518	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	153743728	153744093	366	+	501	91.599	6	146	135	496	1	366	369	4	21
3186503_Lepus_timidus	3186503	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	155672340	155672439	100	+	108	86.139	4	28	221	321	1	100	101	1	13
3186462_Lepus_timidus	3186462	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	155700791	155700934	144	+	108	80.405	6	28	241	386	1	144	148	5	23
3186529_Lepus_timidus	3186529	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	159491103	159491581	479	-	407	90.879	2	117	47	351	1	304	307	4	23
3186437_Lepus_timidus	3186437	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	164659436	164659750	315	+	353	86.984	2	101	183	496	1	315	315	1	40
3186520_Lepus_timidus	3186520	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	165120519	165120864	346	+	442	89.474	4	128	1	361	1	346	361	3	23
3186522_Lepus_timidus	3186522	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	165120876	165121073	198	+	311	94.949	6	89	299	496	1	198	198	0	10
3186474_Lepus_timidus	3186474	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019670.1	169444516	169445008	493	-	697	92.137	0	1	1	496	1	493	496	2	36
3186490_Lepus_timidus	3186490	Lepus_timidus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	UTR	CM019671.1	13431924	13432332	409	+	560	91.566	1	163	47	454	1	409	415	4	22
